review,rating,date,bank,source
"""Why don’t your ATMs support account-to-account transfers like other countries( Kenya, Nigeria , South africa)""",4,2025-06-06,CBE,Google Play
what is this app problem???,1,2025-06-05,CBE,Google Play
the app is proactive and a good connections.,5,2025-06-05,CBE,Google Play
I cannot send to cbebirr app. through this app.,3,2025-06-05,CBE,Google Play
not functional,1,2025-06-05,CBE,Google Play
"everytime you uninstall the app you have to reach them out physically. very oldy! if that's one of security layer, they'd check for fraud attempt via app source directly(source:- app store, play store ... etc) implicitly ! we are in 2025, physical presence for every app install is traditional(traditionally very rare).",1,2025-06-04,CBE,Google Play
it was good app but it have some issues like it doesnt give me the right amount that I have in the bank and have some issues in transferring,2,2025-06-04,CBE,Google Play
best app of finance,5,2025-06-04,CBE,Google Play
it is not safety,1,2025-06-03,CBE,Google Play
it is like a childish app make it better the worst I have ever seen,1,2025-06-02,CBE,Google Play
"It's a problem solver application, go ahead CBE, I love so much.",5,2025-06-02,CBE,Google Play
It's good but try to make it facilitate for your client,4,2025-06-02,CBE,Google Play
this app has developed in a very good ways but there are some comments I need to make 1- preventing the screenshot likely not good for someone like me coz I need to make screenshot for quicker evidence. 2-it would be good if you make us to access recent transaction histories for 30 days coz we don't have to go to the Bank's in person to see old transactions or add colander category so user can easily access old transactions through colanders.,5,2025-05-31,CBE,Google Play
"Recently there is big problem when sending to safaricom, telebir, and even to cbebirr wallet could anybody who is responsible fix it, it's very frustrating it's been 5 days and my money hasn't been returned it takes it out of my account but doesn't send it to my mpesa update- they have just corrected it and sent me back the money but still I'm afraid now to send again",2,2025-05-31,CBE,Google Play
"it,s good app and time manager 👍",5,2025-05-30,CBE,Google Play
lower system everything,3,2025-05-30,CBE,Google Play
Keep it up My CBE,5,2025-05-29,CBE,Google Play
"I was using this app for the last two years with no problems. It stopped working about 3 months ago. when I tried to transfer funds it gives me error ""can't do this transaction. inactive account.""",4,2025-05-27,CBE,Google Play
i like everything of this app,5,2025-05-27,CBE,Google Play
CBE is the best financial application and and very dimple to use. I would like to say thank you so much for the developer of application. I really appreciate this app.,5,2025-05-26,CBE,Google Play
it's awesome!!,5,2025-05-25,CBE,Google Play
thankyou every one,5,2025-05-25,CBE,Google Play
"this app is absolutely fantastic I love it and I enjoying to it ,let us support this foundation together .",5,2025-05-25,CBE,Google Play
"The CBE app has been highly unreliable in recent weeks. It frequently fails to work properly on both Ethio Telecom and Safaricom networks, whether using Wi-Fi or mobile data. This week, the system was down entirely for extended periods, making it very difficult to access banking services. The app only functions intermittently, and the lack of consistency is frustrating. I hope the issues are addressed soon, and that any non-technical influences are removed from such essential services.",2,2025-05-25,CBE,Google Play
mortuary app,5,2025-05-25,CBE,Google Play
it is smart app but it has stoped after some period of time on my device with out any reason .,5,2025-05-25,CBE,Google Play
amazing app I am used this app for one year,4,2025-05-24,CBE,Google Play
good app,5,2025-05-24,CBE,Google Play
It makes life easy!👌,5,2025-05-24,CBE,Google Play
its not fast,1,2025-05-24,CBE,Google Play
accessible to using,5,2025-05-23,CBE,Google Play
why you change default network?,5,2025-05-23,CBE,Google Play
how to I get my money,5,2025-05-22,CBE,Google Play
"Very bad, can't even load they need to improve their services.",1,2025-05-22,CBE,Google Play
"Very good app, but please make it reliable . it crashes sometimes .",4,2025-05-22,CBE,Google Play
"Sometimes it has a nasty lag for several hour fix that , the rest is 👌",4,2025-05-22,CBE,Google Play
the most boring Mobil banking application in ethiopia.Please use alternative private banks mobile banking apps,1,2025-05-22,CBE,Google Play
user-friendly apps.because this app is easy.,5,2025-05-22,CBE,Google Play
ይህ መተግበሪያ በጣም ጥሩ ነው. this app is very nice,5,2025-05-22,CBE,Google Play
I hate this app 😒,1,2025-05-22,CBE,Google Play
"This app is good, and we are using it well",1,2025-05-21,CBE,Google Play
very nice 👌 app for android phone,5,2025-05-21,CBE,Google Play
easy to use helpful in my life,5,2025-05-21,CBE,Google Play
the best mobile banking app,5,2025-05-21,CBE,Google Play
"this app is very useful app,it saves time,and it is secure",4,2025-05-21,CBE,Google Play
it's a good application 👍,5,2025-05-21,CBE,Google Play
the screenshot and the reffresh options are so annoying that makes transaction so delaying activity !,2,2025-05-21,CBE,Google Play
poor service,1,2025-05-20,CBE,Google Play
it is reliable and easy to use.,5,2025-05-20,CBE,Google Play
the most annoying mobile banking app I've ever seen,1,2025-05-20,CBE,Google Play
"i can't make Screenshout in this app, please made modification",5,2025-05-20,CBE,Google Play
Best app I loved it,5,2025-05-18,CBE,Google Play
Amazing applicatiom sometimes doesnt work!,5,2025-05-18,CBE,Google Play
well satisfied with this beautiful app,5,2025-05-18,CBE,Google Play
"not working,why???",5,2025-05-17,CBE,Google Play
Great impact but why Developer option turnoff if you fix 🙏 🙏 🙏,5,2025-05-17,CBE,Google Play
always disappointing ! especially the iOS one !! some similar local applications are extremely superior to this application!! Really disappointing!,1,2025-05-17,CBE,Google Play
"Good ,easy to use",5,2025-05-16,CBE,Google Play
Good app,5,2025-05-15,CBE,Google Play
"Please kindly ask to update the app and allow us to screenshot, it's convenient and efficient as long as you add security to the access there is no reason to block us from screenshooting our screen.",2,2025-05-14,CBE,Google Play
