bank,review,rating,date,sentiment,sentiment_score,themes
BOA,I don't have words for your great work.. Really Good .what i like the most is the screenshots features is included which gives you the transactions detail ...Great Work...KEEP IT UP !!??,5,2024-02-03,POSITIVE,0.7604166666666666,['other']
BOA,To slow,1,2024-04-23,NEGATIVE,0.30000000000000004,['performance']
CBE,the most annoying mobile banking app I've ever seen,1,2025-05-20,NEGATIVE,0.15000000000000002,['other']
Dashen,Wow! like his name Super App...,5,2025-04-21,POSITIVE,0.22916666666666666,['other']
BOA,uselss app dont download,1,2024-07-26,NEUTRAL,0.0,['other']
CBE,Constantly crashing after new update,1,2025-02-24,NEUTRAL,0.06818181818181818,['performance']
BOA,UGH 🤮🤮🤮 they are super calculative when it CM 2 Mobile-banking or any online stuff. If ur degital!! better chose other bank.,1,2024-05-08,POSITIVE,0.2986111111111111,['other']
BOA,Abissiniya bank one of the best for giving the future,5,2024-04-12,POSITIVE,0.5,['other']
CBE,Nice 👍 this is app,5,2025-02-23,POSITIVE,0.6,['other']
CBE,Very good thank you,5,2025-03-04,POSITIVE,0.9099999999999999,['other']
CBE,its not fast,1,2025-05-24,NEUTRAL,0.1,['other']
BOA,"This app has become the most troubling every day. It doesn't work. I love the bank, and I hate the app",1,2024-07-31,NEUTRAL,0.06666666666666665,['other']
CBE,It very important app,5,2025-01-24,POSITIVE,0.52,['other']
BOA,"Nice to meet you my proud bank in Ethiopia.. I'm a member of this bank, i need to solve my problem of international receiving money for me from my online digital working service's over the world please? I'm working a lot of international money.But i can't get direct in Ethiopia because of don't knowing the legal ways of getting money in Ethiopia please can I get and direct deposit with BoA please 🙏🙏🙏?",5,2024-10-18,POSITIVE,0.225,['other']
CBE,the app is recently crushing each time you open and try to make transfers...it used to be good. take lessons from the Dashen Super app or ethiotelecom. it is not befitting of your experience and glory. inv3st in making it more friendly and convenient. I am considering leaving CBE for good.,2,2025-05-06,POSITIVE,0.42976190476190484,['transactions']
CBE,Screenshot or slip not working,2,2025-03-22,NEUTRAL,0.0,['other']
BOA,Great app with great services,5,2024-09-19,POSITIVE,0.8,['other']
BOA,My advice for whoever reading is go look for other bank(awash bank is a great example). This bank won't even allow you to access your money when you want. It has bad servers which don't work(respond) on time.,1,2024-05-11,NEUTRAL,0.008333333333333267,['other']
CBE,Now it's crashing like crazy. It doesn't even open after a recent update.,1,2025-02-01,NEGATIVE,0.19999999999999998,['performance']
Dashen,good and latest,5,2025-03-18,POSITIVE,0.6,['other']
BOA,This App is not interest for Android phone Please update it .,1,2025-06-01,NEUTRAL,0.0,['other']
CBE,well designed! Fixing bugs & two step verification with biometric... simply it's great!,5,2025-05-06,POSITIVE,1.0,['ui_ux']
BOA,Has some nice interface but always freezes or slow to load .App developers please fix this issue.,3,2024-10-27,POSITIVE,0.14999999999999997,"['ui_ux', 'performance']"
BOA,BOA Mobile banking is hard to deal with. Very poor app never gets better it keep lagging,1,2024-02-12,NEGATIVE,0.10388888888888892,['other']
BOA,this app doesn't fit the bank,1,2024-02-10,POSITIVE,0.4,['other']
CBE,Ever and never seen this kind of app I proud my CBE,5,2025-03-31,POSITIVE,0.7,['other']
CBE,It have a bug it keeps shut down when I open the app. Without any notification. Please fix the bug.,3,2025-02-22,NEUTRAL,0.07777777777777779,['other']
BOA,"I’m giving this app one star because there are no options below that. My experience has been incredibly frustrating due to the extremely long loading times, and the app even closes automatically at times. People choose mobile banking for its convenience, but this app is far too time-consuming, making it the worst I’ve used. I hope improvements are made to enhance the user experience.",1,2024-12-07,NEGATIVE,0.29500000000000004,['other']
BOA,The best bank,5,2024-04-29,POSITIVE,1.0,['other']
BOA,it's so slow app please fix it,2,2024-04-13,NEGATIVE,0.30000000000000004,['performance']
BOA,Very bad app,2,2024-05-02,NEGATIVE,0.9099999999999998,['other']
CBE,I need support you,5,2025-04-26,NEUTRAL,0.0,['customer_service']
BOA,"Very poor app. It crashes every time, doesn't load properly, and you can't even buy airtime. The programming is subpar. Please take lessons from other online banking apps. I would give it a zero if I could!!",1,2024-05-10,NEGATIVE,0.2384375,['performance']
BOA,"It's a quiet good and smoothly accessible app which allows users to transfer , Airtime Top-up, ATM withdrawal and Utilities payments.",5,2024-02-24,POSITIVE,0.35833333333333334,['transactions']
BOA,Why do u force me to Turn OFF developers option just to use your app its not fair and am not using ur app anymore,1,2024-05-10,NEGATIVE,0.35,['other']
Dashen,dashen bank super up has very fast and convenience and also it has contain more things on one app .I am very interesting to use dashen bank super up,5,2025-04-21,POSITIVE,0.41533333333333333,['other']
Dashen,"Transferring to other bank accounts is a hastle and inconvenient .Get used to seeing "" please try again """,2,2025-05-17,NEGATIVE,0.3625,['transactions']
CBE,Comfortable,5,2025-02-06,POSITIVE,0.4,['other']
Dashen,It looks good and simple to use,5,2025-01-14,POSITIVE,0.35,['other']
Dashen,Really the app looks like amazing. I can't wait to activate in the morning.,5,2025-01-14,POSITIVE,0.4,['other']
BOA,"The version 24.04.26 is not opening on any of my devices. I noticed this issue on my friend's Android 9 phone and also on my Samsung Android 12 phone. Even after weekly updates, the newest version is not working properly. Please provide a stable version update, as I prefer the older version of the app from the new one.",1,2024-05-04,POSITIVE,0.101010101010101,['other']
CBE,1.we can't get mobile Token on CBE App or any other online. This is need to improve 2.internet banking is always say authenticate error after some weeks this is need to improve.,4,2025-03-15,NEGATIVE,0.125,['login_issues']
BOA,It is good,5,2024-05-19,POSITIVE,0.7,['other']
Dashen,Small size with vast features and functionalities.,5,2025-01-15,NEGATIVE,0.125,['other']
BOA,I am having a challenge to use the app. The app does not allow to update the previous app. Neither does it allow to manually insert OTP - BoA please modify the app to allow these features,3,2024-02-06,NEGATIVE,0.16666666666666666,['other']
BOA,"I've never seen a very worst mobile banking system like this, i lost 37000 birr because of your delay transaction system, i called 8397 and they told me stay for confirmation but, after i changed my mind and waiting for confirmation call to cancel the process they sent it with out my approval, so please don't use the mobile banking system please",1,2024-04-23,NEGATIVE,1.0,['transactions']
BOA,Very very bad app,1,2024-04-21,NEGATIVE,0.9099999999999998,['other']
CBE,Fantastic app! I appreciate it very much,5,2025-03-27,POSITIVE,0.38,['other']
CBE,Best app I loved it,5,2025-05-18,POSITIVE,0.85,['other']
CBE,"this app is very useful app,it saves time,and it is secure",4,2025-05-21,POSITIVE,0.395,['other']
CBE,Really! this app is more simple to use at any time in every where also it's transaction quality between the users within the transaction receipt as abank that means this app is our bank on hand in mobile frankly I proud on this bank digital. I have no word to wrote ...... but it's have weakness on poor connection.,5,2025-03-31,POSITIVE,0.19166666666666665,['other']
BOA,It's the best,5,2024-04-24,POSITIVE,1.0,['other']
CBE,The way its menu arranged to use is easy to use.,5,2025-02-17,POSITIVE,0.43333333333333335,['other']
